feature_name,feature_source,importance
ConvNeXt_feature_729,ConvNeXt,0.06703005
ConvNeXt_feature_617,ConvNeXt,0.06404225
ConvNeXt_feature_22,ConvNeXt,0.062412813
ConvNeXt_feature_984,ConvNeXt,0.060287226
ConvNeXt_feature_296,ConvNeXt,0.059920512
ConvNeXt_feature_293,ConvNeXt,0.059519924
ConvNeXt_feature_480,ConvNeXt,0.057729032
ConvNeXt_feature_328,ConvNeXt,0.05729527
ConvNeXt_feature_354,ConvNeXt,0.05665705
ConvNeXt_feature_267,ConvNeXt,0.05571619
ConvNeXt_feature_129,ConvNeXt,0.055292048
ConvNeXt_feature_489,ConvNeXt,0.05226029
ConvNeXt_feature_723,ConvNeXt,0.050701972
ConvNeXt_feature_778,ConvNeXt,0.050231162
ConvNeXt_feature_434,ConvNeXt,0.049132135
ConvNeXt_feature_663,ConvNeXt,0.048130456
ConvNeXt_feature_206,ConvNeXt,0.047748584
ConvNeXt_feature_945,ConvNeXt,0.0470541
ConvNeXt_feature_996,ConvNeXt,0.046840325
ConvNeXt_feature_755,ConvNeXt,0.045633726
ConvNeXt_feature_107,ConvNeXt,0.045393955
ConvNeXt_feature_109,ConvNeXt,0.045186706
ConvNeXt_feature_938,ConvNeXt,0.04486637
ConvNeXt_feature_731,ConvNeXt,0.04476772
ConvNeXt_feature_896,ConvNeXt,0.044498723
ConvNeXt_feature_301,ConvNeXt,0.044013295
ConvNeXt_feature_368,ConvNeXt,0.043672025
ConvNeXt_feature_1022,ConvNeXt,0.042854454
ConvNeXt_feature_403,ConvNeXt,0.041582804
ConvNeXt_feature_7,ConvNeXt,0.04142153
ConvNeXt_feature_256,ConvNeXt,0.040961795
ConvNeXt_feature_648,ConvNeXt,0.040787168
ConvNeXt_feature_36,ConvNeXt,0.040709924
ConvNeXt_feature_1006,ConvNeXt,0.040684577
ConvNeXt_feature_96,ConvNeXt,0.040593553
ConvNeXt_feature_204,ConvNeXt,0.04034086
ConvNeXt_feature_138,ConvNeXt,0.040302403
ConvNeXt_feature_986,ConvNeXt,0.040019147
ConvNeXt_feature_593,ConvNeXt,0.03989231
ConvNeXt_feature_954,ConvNeXt,0.039745163
ConvNeXt_feature_294,ConvNeXt,0.039428487
ConvNeXt_feature_121,ConvNeXt,0.039205253
ConvNeXt_feature_221,ConvNeXt,0.03919227
ConvNeXt_feature_487,ConvNeXt,0.039076753
ConvNeXt_feature_88,ConvNeXt,0.038942024
ConvNeXt_feature_106,ConvNeXt,0.038615596
ConvNeXt_feature_97,ConvNeXt,0.038347945
ConvNeXt_feature_569,ConvNeXt,0.037911396
ConvNeXt_feature_836,ConvNeXt,0.03784231
ConvNeXt_feature_478,ConvNeXt,0.037573766
ConvNeXt_feature_572,ConvNeXt,0.037452947
ConvNeXt_feature_825,ConvNeXt,0.03735096
ConvNeXt_feature_427,ConvNeXt,0.03723676
ConvNeXt_feature_738,ConvNeXt,0.03719529
ConvNeXt_feature_460,ConvNeXt,0.037103742
ConvNeXt_feature_318,ConvNeXt,0.036583766
ConvNeXt_feature_536,ConvNeXt,0.03616304
ConvNeXt_feature_747,ConvNeXt,0.035983197
ConvNeXt_feature_840,ConvNeXt,0.035583787
ConvNeXt_feature_216,ConvNeXt,0.035286874
ConvNeXt_feature_946,ConvNeXt,0.035266556
ConvNeXt_feature_285,ConvNeXt,0.035129245
ConvNeXt_feature_831,ConvNeXt,0.035107825
ConvNeXt_feature_408,ConvNeXt,0.035072956
ConvNeXt_feature_397,ConvNeXt,0.034793176
ConvNeXt_feature_802,ConvNeXt,0.034674097
ConvNeXt_feature_811,ConvNeXt,0.034664378
ConvNeXt_feature_251,ConvNeXt,0.034662087
ConvNeXt_feature_702,ConvNeXt,0.034304764
ConvNeXt_feature_929,ConvNeXt,0.034067377
ConvNeXt_feature_404,ConvNeXt,0.03399596
ConvNeXt_feature_637,ConvNeXt,0.033925336
ConvNeXt_feature_387,ConvNeXt,0.033799052
ConvNeXt_feature_113,ConvNeXt,0.033473838
ConvNeXt_feature_752,ConvNeXt,0.033355772
ConvNeXt_feature_180,ConvNeXt,0.033039104
ConvNeXt_feature_150,ConvNeXt,0.032790713
ConvNeXt_feature_797,ConvNeXt,0.03275687
ConvNeXt_feature_820,ConvNeXt,0.03267762
ConvNeXt_feature_845,ConvNeXt,0.032584883
ConvNeXt_feature_806,ConvNeXt,0.032550525
ConvNeXt_feature_813,ConvNeXt,0.032497615
ConvNeXt_feature_902,ConvNeXt,0.032369964
ConvNeXt_feature_708,ConvNeXt,0.03234699
ConvNeXt_feature_612,ConvNeXt,0.032326475
ConvNeXt_feature_502,ConvNeXt,0.03226965
ConvNeXt_feature_1010,ConvNeXt,0.032206547
ConvNeXt_feature_400,ConvNeXt,0.032190967
ConvNeXt_feature_316,ConvNeXt,0.031665437
ConvNeXt_feature_1005,ConvNeXt,0.031475697
ConvNeXt_feature_818,ConvNeXt,0.03142968
ConvNeXt_feature_321,ConvNeXt,0.03140674
ConvNeXt_feature_390,ConvNeXt,0.031232972
ConvNeXt_feature_868,ConvNeXt,0.031230982
ConvNeXt_feature_433,ConvNeXt,0.031159375
ConvNeXt_feature_307,ConvNeXt,0.030830367
ConvNeXt_feature_278,ConvNeXt,0.030803561
ConvNeXt_feature_792,ConvNeXt,0.030643232
ConvNeXt_feature_185,ConvNeXt,0.030618727
ConvNeXt_feature_170,ConvNeXt,0.030544532
ConvNeXt_feature_93,ConvNeXt,0.030469866
ConvNeXt_feature_155,ConvNeXt,0.030106086
ConvNeXt_feature_676,ConvNeXt,0.03007207
ConvNeXt_feature_45,ConvNeXt,0.029653043
ConvNeXt_feature_169,ConvNeXt,0.029535163
ConvNeXt_feature_372,ConvNeXt,0.029416053
ConvNeXt_feature_586,ConvNeXt,0.02930735
ConvNeXt_feature_407,ConvNeXt,0.029128678
ConvNeXt_feature_339,ConvNeXt,0.028928012
ConvNeXt_feature_785,ConvNeXt,0.028813727
ConvNeXt_feature_760,ConvNeXt,0.028429575
ConvNeXt_feature_685,ConvNeXt,0.028395135
ConvNeXt_feature_1007,ConvNeXt,0.028329305
ConvNeXt_feature_847,ConvNeXt,0.028294062
ConvNeXt_feature_937,ConvNeXt,0.028181331
ConvNeXt_feature_622,ConvNeXt,0.028163468
ConvNeXt_feature_272,ConvNeXt,0.028077576
ConvNeXt_feature_521,ConvNeXt,0.028002148
ConvNeXt_feature_326,ConvNeXt,0.027908491
ConvNeXt_feature_432,ConvNeXt,0.027772125
ConvNeXt_feature_90,ConvNeXt,0.02776384
ConvNeXt_feature_3,ConvNeXt,0.027726028
ConvNeXt_feature_977,ConvNeXt,0.027671618
ConvNeXt_feature_98,ConvNeXt,0.027642481
ConvNeXt_feature_399,ConvNeXt,0.02754786
ConvNeXt_feature_464,ConvNeXt,0.02753448
ConvNeXt_feature_346,ConvNeXt,0.02746535
ConvNeXt_feature_55,ConvNeXt,0.027426753
ConvNeXt_feature_687,ConvNeXt,0.027289653
ConvNeXt_feature_819,ConvNeXt,0.02697995
ConvNeXt_feature_982,ConvNeXt,0.026828013
ConvNeXt_feature_198,ConvNeXt,0.026714524
ConvNeXt_feature_737,ConvNeXt,0.026652817
ConvNeXt_feature_230,ConvNeXt,0.026489334
ConvNeXt_feature_575,ConvNeXt,0.026475431
ConvNeXt_feature_870,ConvNeXt,0.026475059
ConvNeXt_feature_236,ConvNeXt,0.026426813
ConvNeXt_feature_519,ConvNeXt,0.026404593
ConvNeXt_feature_340,ConvNeXt,0.02640253
ConvNeXt_feature_991,ConvNeXt,0.02634992
ConvNeXt_feature_544,ConvNeXt,0.026181808
ConvNeXt_feature_175,ConvNeXt,0.026181389
ConvNeXt_feature_273,ConvNeXt,0.025894755
ConvNeXt_feature_219,ConvNeXt,0.025845928
ConvNeXt_feature_282,ConvNeXt,0.025823617
ConvNeXt_feature_228,ConvNeXt,0.02581457
ConvNeXt_feature_472,ConvNeXt,0.025752796
ConvNeXt_feature_347,ConvNeXt,0.025642795
ConvNeXt_feature_46,ConvNeXt,0.025624283
ConvNeXt_feature_144,ConvNeXt,0.025434302
ConvNeXt_feature_297,ConvNeXt,0.025257774
ConvNeXt_feature_261,ConvNeXt,0.025208801
ConvNeXt_feature_73,ConvNeXt,0.025180724
ConvNeXt_feature_932,ConvNeXt,0.025178995
ConvNeXt_feature_69,ConvNeXt,0.025137011
ConvNeXt_feature_714,ConvNeXt,0.025022792
ConvNeXt_feature_961,ConvNeXt,0.024996549
ConvNeXt_feature_503,ConvNeXt,0.02499066
ConvNeXt_feature_528,ConvNeXt,0.024905978
ConvNeXt_feature_312,ConvNeXt,0.02487944
ConvNeXt_feature_91,ConvNeXt,0.024769057
