feature_name,feature_source,importance
ConvNeXt_feature_397,ConvNeXt,0.074539
ConvNeXt_feature_845,ConvNeXt,0.06187286
ConvNeXt_feature_204,ConvNeXt,0.053638395
ConvNeXt_feature_91,ConvNeXt,0.05163206
ConvNeXt_feature_672,ConvNeXt,0.045989584
ConvNeXt_feature_601,ConvNeXt,0.04275075
ConvNeXt_feature_470,ConvNeXt,0.037149075
ConvNeXt_feature_416,ConvNeXt,0.034632996
ConvNeXt_feature_246,ConvNeXt,0.03394218
ConvNeXt_feature_330,ConvNeXt,0.03260916
ConvNeXt_feature_809,ConvNeXt,0.032173943
ConvNeXt_feature_69,ConvNeXt,0.031867858
ConvNeXt_feature_121,ConvNeXt,0.03153074
ConvNeXt_feature_795,ConvNeXt,0.031158807
ConvNeXt_feature_444,ConvNeXt,0.03019507
ConvNeXt_feature_185,ConvNeXt,0.02867104
ConvNeXt_feature_986,ConvNeXt,0.027939046
ConvNeXt_feature_19,ConvNeXt,0.027920768
ConvNeXt_feature_90,ConvNeXt,0.02746319
ConvNeXt_feature_418,ConvNeXt,0.027356574
ConvNeXt_feature_637,ConvNeXt,0.02729926
ConvNeXt_feature_171,ConvNeXt,0.027190533
ConvNeXt_feature_434,ConvNeXt,0.027067399
ConvNeXt_feature_761,ConvNeXt,0.026936168
ConvNeXt_feature_960,ConvNeXt,0.026762547
ConvNeXt_feature_293,ConvNeXt,0.026680699
ConvNeXt_feature_94,ConvNeXt,0.025551507
ConvNeXt_feature_1015,ConvNeXt,0.025402686
ConvNeXt_feature_484,ConvNeXt,0.025395667
ConvNeXt_feature_896,ConvNeXt,0.024524432
ConvNeXt_feature_974,ConvNeXt,0.023818143
ConvNeXt_feature_219,ConvNeXt,0.023437189
ConvNeXt_feature_99,ConvNeXt,0.022827398
ConvNeXt_feature_128,ConvNeXt,0.02225794
ConvNeXt_feature_312,ConvNeXt,0.021862984
ConvNeXt_feature_832,ConvNeXt,0.021493053
ConvNeXt_feature_727,ConvNeXt,0.021442307
ConvNeXt_feature_400,ConvNeXt,0.021374913
ConvNeXt_feature_810,ConvNeXt,0.021347377
ConvNeXt_feature_180,ConvNeXt,0.02132773
ConvNeXt_feature_533,ConvNeXt,0.021070972
ConvNeXt_feature_332,ConvNeXt,0.021016803
ConvNeXt_feature_447,ConvNeXt,0.020958468
ConvNeXt_feature_849,ConvNeXt,0.020927444
ConvNeXt_feature_417,ConvNeXt,0.020912727
ConvNeXt_feature_375,ConvNeXt,0.020835357
ConvNeXt_feature_768,ConvNeXt,0.020688692
ConvNeXt_feature_1023,ConvNeXt,0.02066556
ConvNeXt_feature_831,ConvNeXt,0.020636838
ConvNeXt_feature_587,ConvNeXt,0.020628603
ConvNeXt_feature_291,ConvNeXt,0.020344207
ConvNeXt_feature_137,ConvNeXt,0.02030623
ConvNeXt_feature_166,ConvNeXt,0.020268967
ConvNeXt_feature_563,ConvNeXt,0.020215645
ConvNeXt_feature_516,ConvNeXt,0.020166213
ConvNeXt_feature_790,ConvNeXt,0.020163849
ConvNeXt_feature_773,ConvNeXt,0.020084945
ConvNeXt_feature_1003,ConvNeXt,0.019924415
ConvNeXt_feature_109,ConvNeXt,0.019911181
ConvNeXt_feature_905,ConvNeXt,0.019707298
ConvNeXt_feature_55,ConvNeXt,0.019671647
ConvNeXt_feature_43,ConvNeXt,0.019645505
ConvNeXt_feature_60,ConvNeXt,0.019572243
ConvNeXt_feature_691,ConvNeXt,0.019549826
ConvNeXt_feature_989,ConvNeXt,0.019543359
ConvNeXt_feature_705,ConvNeXt,0.019482266
ConvNeXt_feature_711,ConvNeXt,0.019338228
ConvNeXt_feature_943,ConvNeXt,0.019204369
ConvNeXt_feature_37,ConvNeXt,0.019135857
ConvNeXt_feature_934,ConvNeXt,0.019028664
ConvNeXt_feature_479,ConvNeXt,0.018994175
ConvNeXt_feature_449,ConvNeXt,0.018885855
ConvNeXt_feature_143,ConvNeXt,0.018804893
ConvNeXt_feature_361,ConvNeXt,0.018696412
ConvNeXt_feature_814,ConvNeXt,0.018634247
ConvNeXt_feature_102,ConvNeXt,0.018628567
ConvNeXt_feature_503,ConvNeXt,0.018623587
ConvNeXt_feature_387,ConvNeXt,0.018500755
ConvNeXt_feature_413,ConvNeXt,0.01840461
ConvNeXt_feature_561,ConvNeXt,0.018354828
ConvNeXt_feature_76,ConvNeXt,0.01825138
ConvNeXt_feature_318,ConvNeXt,0.018234897
ConvNeXt_feature_9,ConvNeXt,0.018176107
ConvNeXt_feature_301,ConvNeXt,0.018085279
ConvNeXt_feature_473,ConvNeXt,0.017925385
ConvNeXt_feature_918,ConvNeXt,0.017863391
ConvNeXt_feature_373,ConvNeXt,0.01762037
ConvNeXt_feature_716,ConvNeXt,0.017586714
ConvNeXt_feature_7,ConvNeXt,0.01747655
ConvNeXt_feature_30,ConvNeXt,0.017345982
ConvNeXt_feature_854,ConvNeXt,0.017223416
ConvNeXt_feature_275,ConvNeXt,0.017186224
ConvNeXt_feature_186,ConvNeXt,0.017185716
ConvNeXt_feature_500,ConvNeXt,0.017111342
ConvNeXt_feature_325,ConvNeXt,0.016939135
ConvNeXt_feature_159,ConvNeXt,0.016866563
ConvNeXt_feature_144,ConvNeXt,0.016832769
ConvNeXt_feature_1006,ConvNeXt,0.016789474
ConvNeXt_feature_907,ConvNeXt,0.016767222
ConvNeXt_feature_935,ConvNeXt,0.016651286
ConvNeXt_feature_758,ConvNeXt,0.01659977
ConvNeXt_feature_226,ConvNeXt,0.016592039
ConvNeXt_feature_289,ConvNeXt,0.016547013
ConvNeXt_feature_261,ConvNeXt,0.016517727
ConvNeXt_feature_233,ConvNeXt,0.016394056
ConvNeXt_feature_257,ConvNeXt,0.016392658
ConvNeXt_feature_194,ConvNeXt,0.01634681
ConvNeXt_feature_70,ConvNeXt,0.01631193
ConvNeXt_feature_894,ConvNeXt,0.016255999
ConvNeXt_feature_597,ConvNeXt,0.016213145
ConvNeXt_feature_569,ConvNeXt,0.016131047
ConvNeXt_feature_590,ConvNeXt,0.016103925
ConvNeXt_feature_394,ConvNeXt,0.016081175
ConvNeXt_feature_673,ConvNeXt,0.016012818
ConvNeXt_feature_476,ConvNeXt,0.01595181
ConvNeXt_feature_154,ConvNeXt,0.015838033
ConvNeXt_feature_45,ConvNeXt,0.015791634
ConvNeXt_feature_141,ConvNeXt,0.015739758
ConvNeXt_feature_148,ConvNeXt,0.01570394
ConvNeXt_feature_406,ConvNeXt,0.015700279
ConvNeXt_feature_465,ConvNeXt,0.015676072
ConvNeXt_feature_13,ConvNeXt,0.015655402
ConvNeXt_feature_508,ConvNeXt,0.0155487815
ConvNeXt_feature_1000,ConvNeXt,0.0154797565
ConvNeXt_feature_827,ConvNeXt,0.015300134
ConvNeXt_feature_340,ConvNeXt,0.015208124
ConvNeXt_feature_709,ConvNeXt,0.015193491
ConvNeXt_feature_609,ConvNeXt,0.015048648
ConvNeXt_feature_675,ConvNeXt,0.015044379
ConvNeXt_feature_493,ConvNeXt,0.015041051
ConvNeXt_feature_302,ConvNeXt,0.014961284
ConvNeXt_feature_674,ConvNeXt,0.014935475
ConvNeXt_feature_48,ConvNeXt,0.014804342
ConvNeXt_feature_593,ConvNeXt,0.014758486
ConvNeXt_feature_317,ConvNeXt,0.014739826
ConvNeXt_feature_295,ConvNeXt,0.014708528
ConvNeXt_feature_543,ConvNeXt,0.014618632
ConvNeXt_feature_815,ConvNeXt,0.014571443
ConvNeXt_feature_453,ConvNeXt,0.014530499
ConvNeXt_feature_320,ConvNeXt,0.014467153
ConvNeXt_feature_40,ConvNeXt,0.014418961
ConvNeXt_feature_916,ConvNeXt,0.014334584
ConvNeXt_feature_195,ConvNeXt,0.0143035455
ConvNeXt_feature_915,ConvNeXt,0.014238001
ConvNeXt_feature_805,ConvNeXt,0.014204138
ConvNeXt_feature_948,ConvNeXt,0.014158311
ConvNeXt_feature_225,ConvNeXt,0.0141172735
ConvNeXt_feature_496,ConvNeXt,0.014101978
ConvNeXt_feature_848,ConvNeXt,0.0140888905
ConvNeXt_feature_108,ConvNeXt,0.014063413
ConvNeXt_feature_101,ConvNeXt,0.01400208
ConvNeXt_feature_957,ConvNeXt,0.013901411
ConvNeXt_feature_602,ConvNeXt,0.013864375
ConvNeXt_feature_313,ConvNeXt,0.013844317
ConvNeXt_feature_647,ConvNeXt,0.013836819
ConvNeXt_feature_946,ConvNeXt,0.013827792
ConvNeXt_feature_286,ConvNeXt,0.013778247
ConvNeXt_feature_203,ConvNeXt,0.013760521
ConvNeXt_feature_670,ConvNeXt,0.013710395
ConvNeXt_feature_820,ConvNeXt,0.013709324
ConvNeXt_feature_283,ConvNeXt,0.013671483
ConvNeXt_feature_402,ConvNeXt,0.013661028
ConvNeXt_feature_277,ConvNeXt,0.013612657
ConvNeXt_feature_994,ConvNeXt,0.013572624
ConvNeXt_feature_576,ConvNeXt,0.013533195
ConvNeXt_feature_110,ConvNeXt,0.0134592205
ConvNeXt_feature_624,ConvNeXt,0.013434028
ConvNeXt_feature_239,ConvNeXt,0.013425417
ConvNeXt_feature_818,ConvNeXt,0.01337285
ConvNeXt_feature_409,ConvNeXt,0.013321629
ConvNeXt_feature_111,ConvNeXt,0.013303443
ConvNeXt_feature_125,ConvNeXt,0.013267977
ConvNeXt_feature_644,ConvNeXt,0.013218747
ConvNeXt_feature_558,ConvNeXt,0.0132150985
ConvNeXt_feature_634,ConvNeXt,0.01319026
ConvNeXt_feature_510,ConvNeXt,0.013015597
ConvNeXt_feature_200,ConvNeXt,0.0129817715
ConvNeXt_feature_307,ConvNeXt,0.012978751
ConvNeXt_feature_812,ConvNeXt,0.012955139
ConvNeXt_feature_977,ConvNeXt,0.012949928
ConvNeXt_feature_963,ConvNeXt,0.01293157
ConvNeXt_feature_835,ConvNeXt,0.012916561
ConvNeXt_feature_594,ConvNeXt,0.0128960265
ConvNeXt_feature_138,ConvNeXt,0.01288507
ConvNeXt_feature_432,ConvNeXt,0.0128243
ConvNeXt_feature_363,ConvNeXt,0.012807391
ConvNeXt_feature_690,ConvNeXt,0.012804805
ConvNeXt_feature_490,ConvNeXt,0.012746765
ConvNeXt_feature_633,ConvNeXt,0.012715299
ConvNeXt_feature_786,ConvNeXt,0.012688648
ConvNeXt_feature_577,ConvNeXt,0.012678281
ConvNeXt_feature_802,ConvNeXt,0.012613004
ConvNeXt_feature_976,ConvNeXt,0.012600807
ConvNeXt_feature_605,ConvNeXt,0.012587974
ConvNeXt_feature_898,ConvNeXt,0.012472795
ConvNeXt_feature_559,ConvNeXt,0.012470331
ConvNeXt_feature_349,ConvNeXt,0.01244135
ConvNeXt_feature_471,ConvNeXt,0.012439327
ConvNeXt_feature_103,ConvNeXt,0.0124174645
ConvNeXt_feature_876,ConvNeXt,0.012389228
ConvNeXt_feature_379,ConvNeXt,0.012372564
ConvNeXt_feature_836,ConvNeXt,0.012354286
ConvNeXt_feature_507,ConvNeXt,0.012319596
ConvNeXt_feature_817,ConvNeXt,0.012315065
ConvNeXt_feature_517,ConvNeXt,0.012290543
ConvNeXt_feature_930,ConvNeXt,0.012269958
ConvNeXt_feature_959,ConvNeXt,0.012208463
ConvNeXt_feature_862,ConvNeXt,0.012201422
ConvNeXt_feature_736,ConvNeXt,0.012150127
ConvNeXt_feature_685,ConvNeXt,0.012138907
ConvNeXt_feature_252,ConvNeXt,0.012137094
ConvNeXt_feature_383,ConvNeXt,0.01213117
ConvNeXt_feature_570,ConvNeXt,0.012057308
ConvNeXt_feature_882,ConvNeXt,0.012055144
ConvNeXt_feature_492,ConvNeXt,0.012011581
