feature_name,feature_source,importance
ConvNeXt_feature_69,ConvNeXt,0.0863935
ConvNeXt_feature_601,ConvNeXt,0.0853189
ConvNeXt_feature_415,ConvNeXt,0.07919213
ConvNeXt_feature_587,ConvNeXt,0.07597083
ConvNeXt_feature_293,ConvNeXt,0.07558092
ConvNeXt_feature_637,ConvNeXt,0.074490756
ConvNeXt_feature_748,ConvNeXt,0.06889378
ConvNeXt_feature_905,ConvNeXt,0.06649431
ConvNeXt_feature_21,ConvNeXt,0.06019443
ConvNeXt_feature_496,ConvNeXt,0.059340317
ConvNeXt_feature_866,ConvNeXt,0.05501824
ConvNeXt_feature_528,ConvNeXt,0.054221343
ConvNeXt_feature_411,ConvNeXt,0.054161727
ConvNeXt_feature_51,ConvNeXt,0.053441215
ConvNeXt_feature_551,ConvNeXt,0.0523706
ConvNeXt_feature_397,ConvNeXt,0.052253418
ConvNeXt_feature_206,ConvNeXt,0.05118445
ConvNeXt_feature_720,ConvNeXt,0.050713163
ConvNeXt_feature_473,ConvNeXt,0.049452133
ConvNeXt_feature_727,ConvNeXt,0.049151044
ConvNeXt_feature_506,ConvNeXt,0.047856823
ConvNeXt_feature_648,ConvNeXt,0.046786495
ConvNeXt_feature_562,ConvNeXt,0.046098553
ConvNeXt_feature_246,ConvNeXt,0.045875337
ConvNeXt_feature_525,ConvNeXt,0.0457252
ConvNeXt_feature_605,ConvNeXt,0.04570882
ConvNeXt_feature_909,ConvNeXt,0.044858646
ConvNeXt_feature_465,ConvNeXt,0.04482178
ConvNeXt_feature_822,ConvNeXt,0.044539962
ConvNeXt_feature_672,ConvNeXt,0.044209626
ConvNeXt_feature_683,ConvNeXt,0.04368813
ConvNeXt_feature_633,ConvNeXt,0.043138098
ConvNeXt_feature_291,ConvNeXt,0.041818183
ConvNeXt_feature_920,ConvNeXt,0.041486774
ConvNeXt_feature_166,ConvNeXt,0.041150086
ConvNeXt_feature_159,ConvNeXt,0.040491283
ConvNeXt_feature_735,ConvNeXt,0.04037714
ConvNeXt_feature_802,ConvNeXt,0.0402476
ConvNeXt_feature_458,ConvNeXt,0.039933126
ConvNeXt_feature_302,ConvNeXt,0.03953346
ConvNeXt_feature_810,ConvNeXt,0.039296705
ConvNeXt_feature_713,ConvNeXt,0.03904095
ConvNeXt_feature_765,ConvNeXt,0.038037326
ConvNeXt_feature_657,ConvNeXt,0.03713135
ConvNeXt_feature_91,ConvNeXt,0.0370253
ConvNeXt_feature_945,ConvNeXt,0.03687947
ConvNeXt_feature_347,ConvNeXt,0.03687592
ConvNeXt_feature_135,ConvNeXt,0.03655588
ConvNeXt_feature_404,ConvNeXt,0.036504675
ConvNeXt_feature_426,ConvNeXt,0.03646215
ConvNeXt_feature_733,ConvNeXt,0.03625877
ConvNeXt_feature_944,ConvNeXt,0.03624532
ConvNeXt_feature_938,ConvNeXt,0.03618219
ConvNeXt_feature_434,ConvNeXt,0.036141492
ConvNeXt_feature_592,ConvNeXt,0.03600686
ConvNeXt_feature_188,ConvNeXt,0.03581251
ConvNeXt_feature_549,ConvNeXt,0.035486378
ConvNeXt_feature_857,ConvNeXt,0.035456438
ConvNeXt_feature_701,ConvNeXt,0.035112828
ConvNeXt_feature_576,ConvNeXt,0.03494461
ConvNeXt_feature_163,ConvNeXt,0.034939513
ConvNeXt_feature_597,ConvNeXt,0.03482636
ConvNeXt_feature_407,ConvNeXt,0.034805425
ConvNeXt_feature_427,ConvNeXt,0.0347015
ConvNeXt_feature_847,ConvNeXt,0.034621634
ConvNeXt_feature_333,ConvNeXt,0.034522593
ConvNeXt_feature_935,ConvNeXt,0.034492437
ConvNeXt_feature_57,ConvNeXt,0.034441676
ConvNeXt_feature_168,ConvNeXt,0.03414878
ConvNeXt_feature_460,ConvNeXt,0.0339399
ConvNeXt_feature_225,ConvNeXt,0.033925537
ConvNeXt_feature_879,ConvNeXt,0.033818334
ConvNeXt_feature_297,ConvNeXt,0.03370506
ConvNeXt_feature_144,ConvNeXt,0.033674125
ConvNeXt_feature_174,ConvNeXt,0.033621408
ConvNeXt_feature_971,ConvNeXt,0.033506084
ConvNeXt_feature_240,ConvNeXt,0.03314909
ConvNeXt_feature_20,ConvNeXt,0.032955706
ConvNeXt_feature_511,ConvNeXt,0.032874744
ConvNeXt_feature_630,ConvNeXt,0.03271872
ConvNeXt_feature_912,ConvNeXt,0.032337766
ConvNeXt_feature_334,ConvNeXt,0.03198133
ConvNeXt_feature_917,ConvNeXt,0.031909272
ConvNeXt_feature_47,ConvNeXt,0.031786732
ConvNeXt_feature_72,ConvNeXt,0.03177977
ConvNeXt_feature_279,ConvNeXt,0.03160893
ConvNeXt_feature_793,ConvNeXt,0.031592123
ConvNeXt_feature_117,ConvNeXt,0.031031054
ConvNeXt_feature_470,ConvNeXt,0.03091766
ConvNeXt_feature_693,ConvNeXt,0.030868974
ConvNeXt_feature_390,ConvNeXt,0.030844122
ConvNeXt_feature_811,ConvNeXt,0.03041956
ConvNeXt_feature_357,ConvNeXt,0.030231927
ConvNeXt_feature_892,ConvNeXt,0.03010977
ConvNeXt_feature_215,ConvNeXt,0.02983497
ConvNeXt_feature_719,ConvNeXt,0.029592121
ConvNeXt_feature_706,ConvNeXt,0.029574607
ConvNeXt_feature_346,ConvNeXt,0.029449046
ConvNeXt_feature_612,ConvNeXt,0.029418346
ConvNeXt_feature_432,ConvNeXt,0.029307196
ConvNeXt_feature_237,ConvNeXt,0.02911397
ConvNeXt_feature_586,ConvNeXt,0.028984293
ConvNeXt_feature_962,ConvNeXt,0.028839119
ConvNeXt_feature_275,ConvNeXt,0.028736625
ConvNeXt_feature_776,ConvNeXt,0.028665403
ConvNeXt_feature_649,ConvNeXt,0.028629068
ConvNeXt_feature_96,ConvNeXt,0.028565617
ConvNeXt_feature_109,ConvNeXt,0.02854935
ConvNeXt_feature_312,ConvNeXt,0.02854423
ConvNeXt_feature_931,ConvNeXt,0.028380603
ConvNeXt_feature_993,ConvNeXt,0.028324554
ConvNeXt_feature_882,ConvNeXt,0.027744861
ConvNeXt_feature_840,ConvNeXt,0.027545959
ConvNeXt_feature_743,ConvNeXt,0.027420254
ConvNeXt_feature_823,ConvNeXt,0.02730682
ConvNeXt_feature_155,ConvNeXt,0.027280722
ConvNeXt_feature_572,ConvNeXt,0.027231136
ConvNeXt_feature_282,ConvNeXt,0.027221177
ConvNeXt_feature_790,ConvNeXt,0.027209586
ConvNeXt_feature_56,ConvNeXt,0.02708678
ConvNeXt_feature_631,ConvNeXt,0.026998116
ConvNeXt_feature_1005,ConvNeXt,0.026936915
ConvNeXt_feature_569,ConvNeXt,0.026766919
ConvNeXt_feature_2,ConvNeXt,0.026707575
ConvNeXt_feature_268,ConvNeXt,0.02668306
ConvNeXt_feature_186,ConvNeXt,0.026554534
ConvNeXt_feature_522,ConvNeXt,0.026432749
ConvNeXt_feature_454,ConvNeXt,0.02626619
ConvNeXt_feature_602,ConvNeXt,0.026228486
ConvNeXt_feature_843,ConvNeXt,0.02601875
ConvNeXt_feature_156,ConvNeXt,0.025884612
ConvNeXt_feature_808,ConvNeXt,0.02581552
ConvNeXt_feature_123,ConvNeXt,0.025743384
ConvNeXt_feature_544,ConvNeXt,0.025575675
ConvNeXt_feature_319,ConvNeXt,0.025464356
ConvNeXt_feature_841,ConvNeXt,0.025428973
ConvNeXt_feature_265,ConvNeXt,0.025299245
ConvNeXt_feature_764,ConvNeXt,0.025182419
ConvNeXt_feature_610,ConvNeXt,0.025157431
ConvNeXt_feature_77,ConvNeXt,0.025113225
ConvNeXt_feature_779,ConvNeXt,0.025040586
ConvNeXt_feature_654,ConvNeXt,0.024995077
ConvNeXt_feature_134,ConvNeXt,0.024946958
ConvNeXt_feature_484,ConvNeXt,0.024945159
ConvNeXt_feature_245,ConvNeXt,0.024875307
ConvNeXt_feature_589,ConvNeXt,0.024767486
ConvNeXt_feature_521,ConvNeXt,0.024729336
ConvNeXt_feature_860,ConvNeXt,0.024717528
ConvNeXt_feature_611,ConvNeXt,0.02464909
ConvNeXt_feature_740,ConvNeXt,0.024636216
ConvNeXt_feature_204,ConvNeXt,0.024625817
ConvNeXt_feature_923,ConvNeXt,0.024622966
ConvNeXt_feature_884,ConvNeXt,0.024501858
ConvNeXt_feature_11,ConvNeXt,0.02438475
ConvNeXt_feature_387,ConvNeXt,0.024208076
ConvNeXt_feature_230,ConvNeXt,0.02418801
ConvNeXt_feature_478,ConvNeXt,0.024186498
ConvNeXt_feature_933,ConvNeXt,0.024182696
ConvNeXt_feature_327,ConvNeXt,0.024068134
ConvNeXt_feature_969,ConvNeXt,0.024011495
ConvNeXt_feature_499,ConvNeXt,0.02392041
ConvNeXt_feature_195,ConvNeXt,0.023838233
ConvNeXt_feature_349,ConvNeXt,0.023752656
ConvNeXt_feature_343,ConvNeXt,0.02364644
ConvNeXt_feature_708,ConvNeXt,0.023628902
ConvNeXt_feature_946,ConvNeXt,0.02351807
ConvNeXt_feature_126,ConvNeXt,0.023467967
ConvNeXt_feature_316,ConvNeXt,0.023393761
ConvNeXt_feature_358,ConvNeXt,0.023232637
ConvNeXt_feature_464,ConvNeXt,0.023101337
ConvNeXt_feature_403,ConvNeXt,0.023095455
ConvNeXt_feature_545,ConvNeXt,0.022939075
ConvNeXt_feature_826,ConvNeXt,0.022860108
ConvNeXt_feature_530,ConvNeXt,0.022850709
ConvNeXt_feature_557,ConvNeXt,0.022843143
ConvNeXt_feature_272,ConvNeXt,0.022741282
ConvNeXt_feature_76,ConvNeXt,0.022649188
ConvNeXt_feature_583,ConvNeXt,0.022588901
ConvNeXt_feature_873,ConvNeXt,0.022576807
ConvNeXt_feature_315,ConvNeXt,0.022562673
ConvNeXt_feature_825,ConvNeXt,0.022555832
ConvNeXt_feature_28,ConvNeXt,0.022524267
ConvNeXt_feature_146,ConvNeXt,0.022503106
ConvNeXt_feature_355,ConvNeXt,0.022477446
ConvNeXt_feature_548,ConvNeXt,0.02241574
ConvNeXt_feature_990,ConvNeXt,0.02240866
ConvNeXt_feature_834,ConvNeXt,0.022370763
ConvNeXt_feature_513,ConvNeXt,0.022313353
ConvNeXt_feature_536,ConvNeXt,0.022300724
ConvNeXt_feature_754,ConvNeXt,0.022198746
ConvNeXt_feature_462,ConvNeXt,0.022160258
ConvNeXt_feature_767,ConvNeXt,0.022142911
ConvNeXt_feature_227,ConvNeXt,0.02198782
ConvNeXt_feature_518,ConvNeXt,0.02180491
ConvNeXt_feature_981,ConvNeXt,0.021773903
ConvNeXt_feature_655,ConvNeXt,0.021636374
ConvNeXt_feature_566,ConvNeXt,0.021617278
ConvNeXt_feature_591,ConvNeXt,0.02159896
ConvNeXt_feature_419,ConvNeXt,0.021596448
ConvNeXt_feature_39,ConvNeXt,0.021507261
ConvNeXt_feature_595,ConvNeXt,0.021480989
ConvNeXt_feature_371,ConvNeXt,0.021475405
ConvNeXt_feature_309,ConvNeXt,0.021435326
ConvNeXt_feature_645,ConvNeXt,0.021377083
ConvNeXt_feature_95,ConvNeXt,0.021351922
ConvNeXt_feature_132,ConvNeXt,0.021343818
ConvNeXt_feature_190,ConvNeXt,0.021258058
ConvNeXt_feature_89,ConvNeXt,0.021197457
ConvNeXt_feature_480,ConvNeXt,0.02106586
ConvNeXt_feature_681,ConvNeXt,0.020987945
ConvNeXt_feature_985,ConvNeXt,0.020967554
ConvNeXt_feature_510,ConvNeXt,0.020933622
ConvNeXt_feature_243,ConvNeXt,0.02091233
ConvNeXt_feature_952,ConvNeXt,0.020865558
ConvNeXt_feature_889,ConvNeXt,0.020787783
ConvNeXt_feature_503,ConvNeXt,0.020685213
ConvNeXt_feature_604,ConvNeXt,0.02064544
ConvNeXt_feature_863,ConvNeXt,0.02063408
ConvNeXt_feature_561,ConvNeXt,0.02055811
ConvNeXt_feature_777,ConvNeXt,0.020500487
ConvNeXt_feature_609,ConvNeXt,0.020498775
ConvNeXt_feature_613,ConvNeXt,0.020274319
ConvNeXt_feature_653,ConvNeXt,0.020204088
ConvNeXt_feature_950,ConvNeXt,0.02008171
ConvNeXt_feature_105,ConvNeXt,0.02007232
ConvNeXt_feature_234,ConvNeXt,0.020004682
ConvNeXt_feature_437,ConvNeXt,0.019980969
ConvNeXt_feature_514,ConvNeXt,0.019916428
ConvNeXt_feature_891,ConvNeXt,0.019890228
ConvNeXt_feature_317,ConvNeXt,0.019845208
ConvNeXt_feature_53,ConvNeXt,0.019780377
ConvNeXt_feature_800,ConvNeXt,0.019685814
ConvNeXt_feature_527,ConvNeXt,0.019674739
